DATE,KCFSI
01/08/2019,-0.340924981
01/09/2019,-0.399889289
01/10/2019,-0.404717224
01/11/2019,-0.636979889
01/12/2019,-0.646706163
01/01/2020,-0.592820157
01/02/2020,-0.415530432
01/03/2020,2.109481527
01/04/2020,1.62909344
01/05/2020,0.883253317
01/06/2020,0.452535
01/07/2020,0.236314104
01/08/2020,-0.046447305
