,Date,Index,Z_Score,threshold,MA,phase
81,1971-09-30,99.69081,0.03412742070745455,0,-0.5478005673444245,recovery
82,1971-10-31,99.81049,0.1752477704141865,0,-0.37682673099011094,recovery
83,1971-11-30,100.0042,0.4167448184160949,0,-0.19249401832732824,recovery
84,1971-12-31,100.26899999999999,0.7691516156781283,0,0.01372324661075014,expansion
85,1972-01-31,100.5702,1.196299099217913,0,0.24316881685895536,expansion
86,1972-02-29,100.8776,1.647380478362983,0,0.5010750072998581,expansion
87,1972-03-31,101.1738,2.0667478484830917,0,0.7839362061961963,expansion
88,1972-04-30,101.4486,2.4008160120197615,0,1.0883143829124506,expansion
89,1972-05-31,101.7005,2.6209931968859177,0,1.4116726049347585,expansion
90,1972-06-30,101.9347,2.735391500585264,0,1.7316905712061432,expansion
91,1972-07-31,102.1677,2.782471462842238,0,2.027406401759411,expansion
92,1972-08-31,102.4176,2.7999803430744676,0,2.281259992683953,expansion
93,1972-09-30,102.6764,2.7946909756558242,0,2.481058977238692,expansion
94,1972-10-31,102.9282,2.767475224250343,0,2.6210708204746123,expansion
95,1972-11-30,103.15,2.716033486685686,0,2.7022315252499363,expansion
96,1972-12-31,103.3154,2.6376995659992404,0,2.7318419694973715,expansion
97,1973-01-31,103.40299999999999,2.532958791866329,0,2.7208376688699225,slowdown
98,1973-02-28,103.3779,2.392113560100433,0,2.6779279263093185,slowdown
99,1973-03-31,103.2734,2.185399995564861,0,2.6032939928996464,slowdown
100,1973-04-30,103.0998,1.93470045635887,0,2.4951340070601966,slowdown
101,1973-05-31,102.8806,1.6443741547343278,0,2.3513444044450096,slowdown
102,1973-06-30,102.6389,1.3292842698960237,0,2.1715705351507197,slowdown
103,1973-07-31,102.39,1.006971315225109,0,1.9579377637181477,slowdown
104,1973-08-31,102.1435,0.6875048495392329,0,1.714163424160647,slowdown
105,1973-09-30,101.8964,0.3690282460034208,0,1.4436721059277833,slowdown
106,1973-10-31,101.645,0.06387404646103835,0,1.1526421667228588,slowdown
107,1973-11-30,101.3722,-0.11756350704837085,0,0.8647717288962049,slowdown
108,1973-12-31,101.0821,-0.3240047220760001,0,0.5824335815918461,slowdown
