,Return,APINFLATION,APRGDP,phase_GDP,phase_INFLATION,phase,Date
1998-01-31,0.4237430261289754,1.4833127317675299,3.4352660500036194,High,Stable,HighStable,1998-01-31
1998-02-28,2.5718102872411386,0.0,3.997919660057524,High,Low,HighLow,1998-02-28
1998-03-31,4.628242700531859,0.0,3.997919660057524,High,Low,HighLow,1998-03-31
1998-04-30,5.806377990331346,1.4814814814813972,3.997919660057524,High,Stable,HighStable,1998-04-30
1998-05-31,0.3206165249874937,2.959309494451337,3.703228552309243,High,Stable,HighStable,1998-05-31
1998-06-30,-2.69454055004984,1.4760147601477276,3.703228552309243,High,Stable,HighStable,1998-06-30
1998-07-31,5.470013358644432,2.9484029484027805,3.703228552309243,High,Stable,HighStable,1998-07-31
1998-08-31,-3.737846048358673,1.470588235294243,5.010269609058168,High,Low,HighLow,1998-08-31
1998-09-30,-10.633940760966343,0.7343941248469593,5.010269609058168,High,Low,HighLow,1998-09-30
1998-10-31,-1.0040627456189943,2.9357798165138034,5.010269609058168,High,Stable,HighStable,1998-10-31
1998-11-30,13.928835014425346,1.4643075045758778,6.46352091623171,High,Low,HighLow,1998-11-30
1998-12-31,5.4837949785045526,2.193784277879425,6.46352091623171,High,Stable,HighStable,1998-12-31
1999-01-31,4.883268663521578,2.189781021897686,6.46352091623171,High,Stable,HighStable,1999-01-31
1999-02-28,2.8771170276000735,0.0,3.7858875233987033,High,Low,HighLow,1999-02-28
1999-03-31,-3.224387719903399,0.728597449909091,3.7858875233987033,High,Low,HighLow,1999-03-31
1999-04-30,4.430543302946877,8.009708737864035,3.7858875233987033,High,High,HighHigh,1999-04-30
1999-05-31,4.587304702499284,0.7233273056057454,3.076634567932882,Stable,Low,StableLow,1999-05-31
1999-06-30,-3.9169773760086124,0.0,3.076634567932882,Stable,Low,StableLow,1999-06-30
1999-07-31,5.369030636505667,5.060240963855339,3.076634567932882,Stable,High,StableHigh,1999-07-31
1999-08-31,-3.6634405396040015,2.8794241151770055,5.238659335127357,High,Stable,HighStable,1999-08-31
1999-09-30,0.37559078171400806,5.026929982046801,5.238659335127357,High,High,HighHigh,1999-09-30
1999-10-31,-4.288547760721373,2.1454112038139423,5.238659335127357,High,Stable,HighStable,1999-10-31
1999-11-30,5.971370855391478,2.1415823914337517,6.7983401231284795,High,Stable,HighStable,1999-11-30
1999-12-31,3.880663237638249,2.8503562945368572,6.7983401231284795,High,Stable,HighStable,1999-12-31
2000-01-31,4.263262384421296,3.5545023696682465,6.7983401231284795,High,High,HighHigh,2000-01-31
2000-02-29,-2.7355692275013443,4.9616066154754055,1.4470406076662776,Low,High,LowHigh,2000-02-29
2000-03-31,-1.5014078135602515,7.0588235294117645,1.4470406076662776,Low,High,LowHigh,2000-03-31
2000-04-30,6.41707842391992,-0.7017543859648723,1.4470406076662776,Low,Low,LowLow,2000-04-30
2000-05-31,-3.4674683016846286,2.106495026331068,7.324658688184386,High,Stable,HighStable,2000-05-31
2000-06-30,-1.8368636882187817,7.009345794392524,7.324658688184386,High,High,HighHigh,2000-06-30
2000-07-31,2.577169824655079,3.484320557491289,7.324658688184386,High,High,HighHigh,2000-07-31
2000-08-31,-2.6479166507184293,0.0,0.5342211387387261,Low,Low,LowLow,2000-08-31
2000-09-30,6.837983203849918,6.253618992472536,0.5342211387387261,Low,High,LowHigh,2000-09-30
2000-10-31,-5.304413106839001,2.073732718894088,0.5342211387387261,Low,Stable,LowStable,2000-10-31
